,orid,status
1086,20180730H210214,unassigned
1087,20180730H210237,unassigned
1088,20180730H210316,unassigned
1089,20180730H210327,unassigned
1090,20180730H210391,unassigned
1091,20180730H220095,unassigned
1092,20180730H230318,unassigned
1093,20180731H000056,unassigned
1094,20180731H010007,unassigned
1095,20180731H020000,unassigned
1096,20180731H020021,unassigned
1097,20180731H040270,unassigned
1098,20180731H220013,unassigned
1099,20180731H220063,unassigned
1100,20180731H220158,unassigned
1101,20180731H230004,unassigned
1102,20180731H230005,unassigned
1103,20180731H230010,unassigned
1104,20180731H230046,unassigned
1105,20180731H230047,unassigned
1106,20180731H230048,unassigned
1107,20180731H230054,unassigned
1108,20180731H230055,unassigned
1109,20180731H230077,unassigned
1110,20180731H230080,unassigned
1111,20180731H230125,unassigned
1112,20180731H230192,unassigned
1113,20180731H230193,unassigned
1114,20180731H230199,unassigned
1115,20180731H230208,unassigned
1116,20180731H230216,unassigned
1117,20180731H230248,unassigned
1118,20180731H230251,unassigned
1119,20180731H230373,unassigned
1120,20180731H230397,unassigned
1121,20180731H230445,unassigned
1122,20180731H230450,unassigned
1123,20180731H230459,unassigned
1124,20180731H230501,unassigned
